id_resep,nama_resep,tags
R1,Bubur Singkong Isi Ikan dan Ayam dengan Saus Jeruk,"enam sampai delapan bulan tiga porsi singkong putih, ikan kembung, ayam, kaldu ayam, minyak kelapa, bayam, daun salam, sereh, bawang merah, bawang putih, jeruk"
R2,Pure Ikan Ungu,"enam sampai delapan bulan tiga porsi tahu, labu siam, santan, ikan tuna, ubi ungu, air, kaldu jamur bubuk"
R3,Ubi Tahu,"enam sampai delapan bulan tiga porsi ayam, tahu, wortel, santan, ubi ungu, air, kaldu jamur bubuk"
R4,Salmon Moringa,"enam sampai delapan bulan tiga porsi air, kaldu jamur bubuk, salmon, kentang, mentega tawar"
R5,Sup Bayam Oyong,"enam sampai delapan bulan empat porsi bawang putih, santan, air, kaldu jamur bubuk, misoa, jagung, daun bawang, oyong, ikan dori"
R6,Bubur Nasi Buncis,"enam sampai delapan bulan enam porsi ayam, nasi putih, santan, jahe, air, daun bawang, buncis, kaldu ayam bubuk"
R7,Bubur Hati Ayam,"enam sampai delapan bulan empat porsi nasi putih, santan, air, air, kaldu jamur bubuk, jagung, hati ayam, daun kelor"
R8,Sup Labu Sapi,"enam sampai delapan bulan tiga porsi bawang putih, santan, air, kaldu jamur bubuk, mentega tawar, daun bawang, daging sapi, labu kuning, bengkoang"
R9,Sup Nasi Bayam,"enam sampai delapan bulan enam porsi bayam, bawang putih, nasi putih, santan, jahe, air, air, kaldu ayam bubuk, telur ayam"
R10,Sup Ubi Semur Sapi,"enam sampai delapan bulan empat porsi wortel, santan, jahe, air, kaldu jamur bubuk, daging sapi, ubi merah, biji pala, kecap manis"
R11,Roti Isi Tuna Wijen,"sembilan sampai sebelas bulan empat porsi ikan tuna, kaldu jamur bubuk, mentega tawar, daun bawang, daun kelor, telur ayam, jeruk nipis, kacang wijen, roti tawar, mayones"
R12,Onigiri Daun Kelor,"sembilan sampai sebelas bulan enam porsi nasi putih, santan, jagung, daun bawang, kaldu ayam bubuk, daun kelor, daging sapi, nori, minyak sayur, gula pasir, kacang hijau"
R13,Omelette Hati Ayam,"sembilan sampai sebelas bulan tiga porsi bawang putih, nasi putih, wortel, minyak goreng, kaldu jamur bubuk, buncis, hati ayam, telur ayam, bawang bombay, susu"
R14,Beef Schotel,"sembilan sampai sebelas bulan enam porsi bawang putih, kaldu ayam bubuk, telur ayam, bawang bombay, susu, margarin, makaroni, smoke beef, brokoli, merica, ketumbar, keju, keju"
R15,Bola Ayam Ubi,"sembilan sampai sebelas bulan sebelas porsi ayam, bayam, bawang putih, wortel, minyak goreng, santan, air, air, kaldu jamur bubuk, daun bawang, ubi, tepung maizena"
R16,Spinach Salmon Cheese,"sembilan sampai sebelas bulan empat porsi bayam, santan, kaldu jamur bubuk, salmon, cream cheese, biskuit"
R17,Roasted Stuff Wings,"sembilan sampai sebelas bulan enam porsi bayam, wortel, jahe, kentang, mentega tawar, daun bawang, kaldu ayam bubuk, kecap manis, jeruk nipis, sayap ayam"
R18,Puree Ikan Ungu,"sembilan sampai sebelas bulan tiga porsi tahu, labu siam, santan, ikan tuna, ubi ungu, air, kaldu jamur bubuk"
R19,Tim Tahu Udang,"sembilan sampai sebelas bulan dua belas porsi bawang putih, tahu, wortel, santan, jahe, air, kaldu jamur bubuk, minyak sayur, udang, tepung tapioka"
R20,Perkedel Ubi Merah,"sembilan sampai sebelas bulan enam porsi minyak goreng, daging sapi, ubi merah, susu, tepung tapioka"
R21,Pakchoi Baby Pasta,"dua belas sampai dua puluh tiga bulan empat porsi kaldu jamur bubuk, mentega tawar, daun bawang, ikan dori, susu, pak choi, pasta"
R22,Puree Kentang Susu,"enam sampai delapan bulan satu porsi kentang, susu"
R23,Bubur Udang Tahu,"enam sampai delapan bulan satu porsi daun salam, bawang merah, bawang putih, nasi putih, tahu, santan, jahe, jeruk nipis, gula pasir, udang, tomat, kemangi, garam, kemiri"
R24,Puree Kacang Ijo,"enam sampai delapan bulan satu porsi kacang hijau, susu"
R25,Bubur Soto Ayam Santan,"enam sampai delapan bulan tiga porsi ayam, kaldu ayam, daun salam, sereh, bawang merah, bawang putih, jeruk, nasi putih, tahu, labu siam, wortel, daun jeruk, minyak goreng, santan, kunyit, jahe"
R26,Bubur Puyuh Hati Ayam,"enam sampai delapan bulan satu porsi bawang merah, bawang putih, nasi putih, buncis, hati ayam, minyak sayur, garam, telur puyuh"
R27,Nugget Dori,"dua belas sampai dua puluh tiga bulan empat porsi bawang putih, bawang putih, minyak goreng, kaldu jamur bubuk, ikan dori, telur ayam, telur ayam, brokoli, tepung maizena, tepung panir, tepung terigu"
R28,Mini Fritata,"dua belas sampai dua puluh tiga bulan enam porsi wortel, kentang, jagung, daun bawang, kaldu ayam bubuk, daun kelor, telur ayam, minyak sayur, keju"
R29,Tahu Bakso Kuah,"dua belas sampai dua puluh tiga bulan enam porsi ayam, kaldu ayam, bawang putih, tahu, wortel, jahe, daun bawang, kaldu ayam bubuk, gula pasir, bawang bombay, tepung maizena"
R30,Nugget Bayam,"dua belas sampai dua puluh tiga bulan empat porsi ayam, bayam, bawang merah, bawang putih, nasi putih, minyak goreng, kaldu jamur bubuk, telur ayam, tepung panir, tepung terigu"
R31,Orek Bola Dori,"dua belas sampai dua puluh tiga bulan empat porsi daun salam, bawang merah, bawang putih, daun jeruk, kaldu jamur bubuk, ikan dori, daun kelor, kecap manis, gula pasir, tepung maizena, lengkuas, wijen putih"
R32,Pure Bayam Tomat,"enam sampai delapan bulan satu porsi bayam, jeruk, air, tomat"
R33,Bubur Nasi Ayam Brokoli,"enam sampai delapan bulan satu porsi ayam, kaldu ayam, nasi putih, tahu, daun jeruk, jagung, brokoli, minyak zaitun"
R34,Kentang Salmon,"enam sampai delapan bulan satu porsi salmon, kentang, garam, minyak zaitun, kaldu ikan"
R35,Tim Telur Tahu Sayur,"enam sampai delapan bulan satu porsi bawang putih, nasi putih, tahu, air, telur ayam, minyak zaitun, daun caisim"
R36,Tim Labu Kuning,"enam sampai delapan bulan satu porsi jeruk, labu kuning"
R37,Pure Buah Naga,"enam sampai delapan bulan satu porsi jeruk, buah naga"
R38,Ayam Lemon Daun Kelor,"dua belas sampai dua puluh tiga bulan empat porsi ayam, mentega tawar, kaldu ayam bubuk, daun kelor, minyak sayur, bawang bombay, tepung panir, lemon"
R39,Puree Telur Rebus,"enam sampai delapan bulan satu porsi air, telur ayam"
R40,Tumis Sapi Jamur,"enam sampai delapan bulan empat porsi bawang putih, kaldu jamur bubuk, kentang, daging sapi, kecap manis, minyak sayur, bawang bombay, susu, wijen putih, paprika hijau, jamur enoki, mentega"
R41,Tinny Meatballs,"dua belas sampai dua puluh tiga bulan empat porsi kaldu jamur bubuk, mentega tawar, hati ayam, daging sapi, ubi merah, kecap manis, susu, tepung panir, tepung terigu, krim, pala bubuk, jahe bubuk"
R42,Ubi Mac N' Cheese,"dua belas sampai dua puluh tiga bulan empat porsi bawang putih, mentega tawar, telur ayam, ubi merah, susu, keju, keju, pasta, pala bubuk"
R43,Bubur ikan dori,"enam sampai delapan bulan tiga porsi wortel, jahe, air, ikan dori, bawang bombay, beras, seledri"
R44,Bubur ubi ungu,"enam sampai delapan bulan tiga porsi air, keju, tepung ubi ungu, pisang"
R45,Bubur iga sapi,"enam sampai delapan bulan tiga porsi minyak kelapa, wortel, air, kentang, iga, edamame"
R46,Alpukat cheese cream,"enam sampai delapan bulan satu porsi susu, margarin, keju, tepung maizena, biskuit, alpukat"
R47,Sop udang,"enam sampai delapan bulan tiga porsi minyak kelapa, bawang merah, bawang putih, wortel, brokoli, udang, garam"
R48,Ayam telur puyuh,"enam sampai delapan bulan tiga porsi ayam, daun salam, bawang merah, bawang putih, kunyit, kacang hijau, margarin, telur puyuh, beras, sawi"
R49,tempe tomato meat sauce,"dua belas sampai dua puluh tiga bulan tiga porsi bawang putih, wortel, kentang, jagung, daun bawang, buncis, daging sapi, bawang bombay, brokoli, tomat, tempe"
R50,tuna saus bayam,"dua belas sampai dua puluh tiga bulan tiga porsi bayam, bayam, ikan tuna, mentega tawar, bawang bombay, susu, tepung maizena"
R51,bakso kuah kuning,"dua belas sampai dua puluh tiga bulan tiga porsi ayam, kaldu ayam, bayam, bawang merah, bawang putih, nasi putih, wortel, santan, kunyit, tempe, sagu"
R52,chicken veggie risotto,"dua belas sampai dua puluh tiga bulan tiga porsi ayam, kaldu ayam, bawang merah, bawang putih, nasi putih, wortel, daun jeruk, jahe, daun bawang, buncis, telur puyuh, butter, serai"
R53,nasi goreng sayur,"dua belas sampai dua puluh tiga bulan tiga porsi bawang merah, nasi putih, minyak goreng, daun bawang, telur ayam, brokoli, kecap asin, kecap ikan, saus tomat"
R54,tim brokoli ayam,"dua belas sampai dua puluh tiga bulan tiga porsi ayam, nasi putih, mentega tawar, buncis, bawang bombay, brokoli"
R55,sup makaroni tofu brokoli,"dua belas sampai dua puluh tiga bulan empat porsi kaldu ayam, bawang merah, bawang putih, tahu, wortel, daun bawang, makaroni, brokoli, merica, garam, seledri"
R56,Tim Kentang Daging Giling,"dua belas sampai dua puluh tiga bulan tiga porsi air, kentang, daun bawang, daging sapi, gula pasir, margarin, garam, seledri"
R57,Tim Kentang Tenggiri Wortel,"dua belas sampai dua puluh tiga bulan tiga porsi bayam, tahu, wortel, kentang, kaldu ikan, ikan tenggiri"
R58,Nasi Tim Ikan Kakap,"dua belas sampai dua puluh tiga bulan tiga porsi kaldu ayam, nasi putih, wortel, jagung, gula pasir, tomat, garam, tempe, kakap"
R59,Nasi Tim Ubi Ayam Giling,"dua belas sampai dua puluh tiga bulan tiga porsi daun salam, daging sapi, telur ayam, bawang bombay, margarin, keju, tomat, beras, ubi putih, sawi hijau"
R60,Tim Labu Ikan,"dua belas sampai dua puluh tiga bulan tiga porsi kaldu ayam, bayam, daun jeruk, labu kuning, bawang bombay, margarin, ikan tenggiri"
R61,Puding susu vanila,"sembilan sampai sebelas bulan satu porsi telur ayam, gula pasir, susu, garam, pasta vanila, agar-agar bubuk"
R62,Makaroni keju,"sembilan sampai sebelas bulan satu porsi minyak kelapa, bawang putih, daging sapi, telur ayam, bawang bombay, makaroni, keju, garam, mentega"
R63,Puree nasi kentang dan wortel,"enam sampai delapan bulan satu porsi nasi putih, wortel, kentang, susu, seledri"
R64,Pure pisang kurma,"sembilan sampai sebelas bulan satu porsi jeruk, air, pisang, kurma"
R65,Nasi Sup Telur Puyuh Bola Tahu Ayam,"dua belas sampai dua puluh tiga bulan tiga porsi ayam, nasi putih, tahu, wortel, air, jagung, daun bawang, brokoli, merica, tepung tapioka, garam, telur puyuh, seledri, bawang goreng, melon"
R66,Nasi Soto Ayam Kuah Kuning,"dua belas sampai dua puluh tiga bulan tiga porsi ayam, daun salam, bawang merah, bawang putih, nasi putih, daun jeruk, minyak goreng, kunyit, jahe, air, daun bawang, gula pasir, merica, ketumbar, garam, kemiri, telur puyuh, lengkuas, seledri, serai, bawang goreng, soun, toge, jinten"
R67,Sup Telur Puyuh Ikan Air Tawar Labu Kuning,"dua belas sampai dua puluh tiga bulan tiga porsi kaldu ayam, nasi putih, kentang, daun bawang, labu kuning, gula pasir, merica, tomat, garam, telur puyuh, ikan nila, kacang merah, bawang merah goreng, bawang putih goreng, pepaya"
R68,Nasi Ikan Kuah Kuning,"dua belas sampai dua puluh tiga bulan tiga porsi ikan kembung, daun salam, bawang merah, bawang putih, jeruk, nasi putih, labu siam, minyak goreng, santan, kunyit, jahe, air, gula pasir, tomat, garam, kemiri, tempe, serai, laos, semangka"
R69,Nugget Tempe Ayam Sayuran,"dua belas sampai dua puluh tiga bulan tiga porsi ayam, bawang putih, wortel, minyak goreng, air, daun bawang, telur ayam, keju, tepung tapioka, tepung panir, tepung terigu, tepung terigu, tempe, bawang goreng, semangka"
R70,Resep Tahu Tim,"sembilan sampai sebelas bulan satu porsi bayam, bawang putih, tahu, wortel, ikan tuna, air, keju, tomat, beras, minyak wijen"
R71,Resep Omelet Keju,"sembilan sampai sebelas bulan satu porsi bayam, air, telur ayam, margarin, keju"
R72,Bubur Manado,"sembilan sampai sebelas bulan satu porsi bayam, nasi putih, air, labu kuning, kemangi, garam, serai"
R73,Nugget Tempe Keju Mozzarella,"sembilan sampai sebelas bulan satu porsi ayam, bawang putih, telur ayam, bawang bombay, merica, keju, garam, tepung terigu, tempe, tepung serbaguna, tepung roti"
R74,Bubur Sumsum ,"sembilan sampai sebelas bulan satu porsi santan, air, garam, alpukat, tepung beras, gula jawa"
R75,Nasi Tim Ayam,"sembilan sampai sebelas bulan satu porsi ayam, kaldu ayam, bawang merah, bawang putih, air, kaldu jamur bubuk, telur ayam, kecap manis, kecap manis, gula pasir, margarin, garam, beras, kecap asin, kecap asin, minyak wijen, minyak wijen, saus tiram, saus tiram, jamur kancing, lada bubuk"
R76,Sup Krim Tomat,"sembilan sampai sebelas bulan satu porsi bawang putih, air, tomat, oregano kering, cooking cream"
R77,Strawberry Banana Oatmeal,"sembilan sampai sebelas bulan satu porsi air, pisang, baby oatmeal, stroberi"
R78,Bubur Tim Jagung,"sembilan sampai sebelas bulan satu porsi kaldu ayam, nasi putih, jagung, tomat, mentega, seledri, ikan tenggiri, kangkung"
R79,Egg & Cheese Crepes,"sembilan sampai sebelas bulan satu porsi telur ayam, keju, tepung terigu, kiwi"
R80,Telur Orak-Arik Keju,"sembilan sampai sebelas bulan satu porsi bayam, air, telur ayam, keju, minyak zaitun"
R81,Sup Ayam Kentang,"sembilan sampai sebelas bulan satu porsi ayam, bawang putih, air, kentang, bawang bombay, keju, butter, butter"
R82,Spaghetti Saus Daging,"sembilan sampai sebelas bulan satu porsi bawang putih, minyak goreng, daging sapi, bawang bombay, susu, margarin, keju, tomat, spagetti"
R83,Pure Kentang dan Daging Sapi,"enam sampai delapan bulan satu porsi bawang merah, bawang putih, wortel, kentang, daging sapi, tomat"
R84,Bubur Hati Ayam dan Edamame,"enam sampai delapan bulan satu porsi bawang putih, nasi putih, hati ayam, brokoli, edamame"
R85,Bubur Beras dan Ikan Kembung,"enam sampai delapan bulan satu porsi ikan kembung, bayam, bawang merah, bawang putih, jahe, air, kaldu jamur bubuk, minyak zaitun, tepung beras"
R86,"Pure Pisang, Apel, dan Yoghurt","enam sampai delapan bulan satu porsi pisang, yoghurt plain, apel"
R87,Bubur Teri dan Bayam,"enam sampai delapan bulan satu porsi minyak kelapa, bayam, bawang merah, bawang putih, nasi putih, wortel, air, teri"
R88,Bubur Ayam Pakchoi,"enam sampai delapan bulan satu porsi ayam, nasi putih, air, kaldu jamur bubuk, pak choi, jamur"
R89,Snack Pepaya dan Biskuit Susu,"enam sampai delapan bulan satu porsi biskuit, pepaya"
R90,Pure Pisang dan Alpukat,"enam sampai delapan bulan satu porsi susu, pisang, alpukat"
R91,Snack Bubur Kacang Hijau,"enam sampai delapan bulan satu porsi santan, jahe, air, gula pasir, kacang hijau, garam, kayu manis"
R92,Pisang Ubi Ungu,"enam sampai delapan bulan satu porsi ubi ungu, susu, pisang, kurma"
R93,Sop daging cincang,"sembilan sampai sebelas bulan satu porsi bawang putih, wortel, air, kentang, daging sapi, garam, telur puyuh"
R94,Makaroni karbonara,"sembilan sampai sebelas bulan satu porsi bawang putih, air, daging sapi, susu, margarin, makaroni, keju, tepung maizena, sawi, jamur tiram"
R95,Roti panggang keju telur,"sembilan sampai sebelas bulan satu porsi telur ayam, roti tawar, margarin, keju"
R96,Nasi tim semur ayam tahu,"sembilan sampai sebelas bulan satu porsi ayam, bawang merah, bawang putih, tahu, kecap manis, margarin, beras, kecap asin"
R97,Nasi tim ikan patin,"sembilan sampai sebelas bulan satu porsi bawang putih, bawang putih, wortel, air, gula pasir, keju, garam, beras, ikan patin"
R98,Bubur Tim Ayam Keju,"sembilan sampai sebelas bulan satu porsi ayam, bawang putih, air, jagung, margarin, keju, beras, sawi hijau, parsley"
R99,Baked Cheese Potato,"sembilan sampai sebelas bulan satu porsi bawang putih, wortel, kentang, daging sapi, margarin, keju, garam, parsley, merica bubuk"
R100,Spaghetti Kukus,"sembilan sampai sebelas bulan satu porsi ayam, bawang putih, wortel, kaldu ayam bubuk, telur ayam, margarin, keju, pala bubuk, spagetti"
R101,Baked Tuna Pasta,"sembilan sampai sebelas bulan satu porsi bawang putih, ikan tuna, air, bawang bombay, keju, pasta, minyak zaitun, saus tomat, parsley"
R102,Brokoli dan Kembang Kol Keju Panggang,"sembilan sampai sebelas bulan satu porsi mentega tawar, susu, brokoli, keju, keju, keju, mentega, tepung serbaguna, kembang kol"
R103,Nasi Tim Tahu Brokoli,"sembilan sampai sebelas bulan satu porsi ayam, kaldu ayam, bawang putih, tahu, bawang bombay, margarin, brokoli, tomat, tepung beras"
R104,Stik Ayam dan Wortel Rebus,"sembilan sampai sebelas bulan satu porsi ayam, wortel, air"
R105,Yogurt Stroberi,"sembilan sampai sebelas bulan satu porsi stroberi, yoghurt plain"
R106,Nasi Tim Ikan Kembung Telur Puyuh,"sembilan sampai sebelas bulan satu porsi ikan kembung, kaldu ayam, minyak kelapa, wortel, tomat, telur puyuh, beras"
R107,Dadar gembung,"dua belas sampai dua puluh tiga bulan satu porsi bawang merah, bawang putih, daun bawang, telur ayam, garam, seledri, kelapa tua"
R108,Tim telur Jepang,"dua belas sampai dua puluh tiga bulan satu porsi ayam, udang, kecap asin, air jahe, jamur shitake"
R109,Empal gentong,"dua belas sampai dua puluh tiga bulan satu porsi bawang merah, bawang putih, kunyit, gula pasir, garam, kemiri, lengkuas, kayu manis, babat, usus muda, sandung lamur, kaldu sapi, kapulaga, cengkeh, kucai"
R110,Pisang gapit,"dua belas sampai dua puluh tiga bulan satu porsi santan, air, gula pasir, keju, tepung maizena, mentega, krim, pisang, gula jawa, perisa pandan"
R111,Blueberry & banana muffin,"dua belas sampai dua puluh tiga bulan satu porsi telur ayam, biji pala, susu, garam, pisang, baby oatmeal, blueberry, madu, minyak canola, baking powder"
R112,Sup Krim Brokoli,"dua belas sampai dua puluh tiga bulan satu porsi kaldu ayam, daun salam, bawang putih, biji pala, bawang bombay, susu, brokoli, garam, mentega, krim, merica bubuk"
R113,Pancake Oatmeal Pisang,"dua belas sampai dua puluh tiga bulan satu porsi telur ayam, keju, garam, pisang, baby oatmeal, yoghurt plain, madu, baking powder"
R114,Stik Mozzarella,"dua belas sampai dua puluh tiga bulan satu porsi minyak zaitun, mozzarella string, kulit pangsit"
R115,Bola-bola Nasi,"dua belas sampai dua puluh tiga bulan satu porsi ayam, nasi putih, tahu, wortel, minyak goreng, daun bawang, telur ayam, garam, tepung serbaguna, tepung roti, lada bubuk"
R116,Tofu Kuah Wortel,"dua belas sampai dua puluh tiga bulan satu porsi ayam, kaldu ayam, tahu, wortel, garam, mentega"
R117,Perkedel Dari Kentang dan Kacang Merah,"dua belas sampai dua puluh tiga bulan satu porsi ayam, wortel, kentang, telur ayam, gula pasir, garam, seledri, kacang merah"
R118,Nasi Salmon,"dua belas sampai dua puluh tiga bulan satu porsi kaldu ayam, bawang putih, nasi putih, salmon, brokoli, tempe"
R119,Nasi Tim Ayam Kuning,"dua belas sampai dua puluh tiga bulan satu porsi ayam, bawang merah, bawang putih, kunyit, air, daun bawang, minyak sayur, garam, beras"
R120,Chicken Bolognese,"dua belas sampai dua puluh tiga bulan satu porsi ayam, bawang putih, wortel, air, kentang, bawang bombay, tomat, minyak zaitun, kacang merah, oregano kering"
